Country_name,Regional_indicator,year,Logged_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption
Mongolia,East Asia,2008,8.904,0.92,59.28,0.484,0.068,0.962
Sri Lanka,South Asia,2012,9.279,0.824,66.3,0.8,0.161,0.823
Namibia,Sub-Saharan Africa,2017,9.215,0.828,56.2,0.81,-0.19,0.831
Guatemala,Latin America and Caribbean,2008,8.904,0.866,61.42,0.63,0.206,0.796
France,Western Europe,2019,10.74,0.958,74.0,0.827,-0.133,0.568
Mauritius,Sub-Saharan Africa,2021,10.008,0.905,66.701,0.867,-0.054,0.789
Ireland,Western Europe,2011,10.878,0.977,71.6,0.952,0.383,0.59
Botswana,Sub-Saharan Africa,2016,9.748,0.768,57.5,0.852,-0.253,0.729
Iraq,Middle East and North Africa,2011,9.152,0.751,59.36,0.347,-0.07,0.78
Nigeria,Sub-Saharan Africa,2009,8.453,0.722,45.68,0.537,0.067,0.913
Switzerland,Western Europe,2014,11.098,0.959,73.06,0.949,0.06,0.283
South Korea,East Asia,2019,10.661,0.783,73.9,0.706,-0.055,0.718
Nicaragua,Latin America and Caribbean,2011,8.484,0.8,65.72,0.779,-0.02,0.76
Bangladesh,South Asia,2012,8.07,0.582,61.54,0.668,-0.034,0.765
Belarus,Commonwealth of Independent States,2016,9.788,0.927,65.5,0.658,-0.125,0.664
Malaysia,Southeast Asia,2011,9.966,0.77,65.76,0.84,-0.016,0.842
Nigeria,Sub-Saharan Africa,2006,8.326,0.735,44.12,0.649,0.085,0.871
Guatemala,Latin America and Caribbean,2013,8.953,0.83,63.18,0.884,0.045,0.817
Bolivia,Latin America and Caribbean,2008,8.756,0.785,60.0,0.726,-0.092,0.801
Tanzania,Sub-Saharan Africa,2006,7.485,0.783,48.7,0.787,-0.027,0.649
Australia,North America and ANZ,2007,10.703,0.965,71.72,0.891,0.347,0.513
United Arab Emirates,Middle East and North Africa,2015,11.086,0.824,66.5,0.915,0.201,0.299
Slovakia,Central and Eastern Europe,2011,10.196,0.917,67.04,0.727,0.01,0.907
Russia,Commonwealth of Independent States,2009,10.044,0.908,60.42,0.617,-0.283,0.954
Zambia,Sub-Saharan Africa,2017,8.156,0.744,54.8,0.823,0.14,0.74
Argentina,Latin America and Caribbean,2011,10.112,0.889,67.48,0.816,-0.174,0.755
Greece,Western Europe,2019,10.319,0.891,72.6,0.614,-0.289,0.848
Colombia,Latin America and Caribbean,2015,9.564,0.89,66.8,0.791,-0.1,0.843
Guatemala,Latin America and Caribbean,2014,8.98,0.834,63.54,0.843,0.108,0.804
Guinea,Sub-Saharan Africa,2013,7.619,0.567,50.66,0.693,0.091,0.815
France,Western Europe,2013,10.669,0.908,72.8,0.878,-0.125,0.699
Ireland,Western Europe,2012,10.876,0.962,71.7,0.902,0.302,0.573
Thailand,Southeast Asia,2009,9.508,0.893,65.16,0.868,0.525,0.904
Bangladesh,South Asia,2016,8.274,0.649,63.3,0.875,-0.089,0.688
Thailand,Southeast Asia,2020,9.769,0.867,67.6,0.84,0.273,0.918
Morocco,Middle East and North Africa,2011,8.783,0.833,63.8,0.579,-0.218,0.875
Finland,Western Europe,2014,10.714,0.952,71.36,0.933,-0.001,0.265
Romania,Central and Eastern Europe,2021,10.284,0.832,67.355,0.845,-0.219,0.938
Thailand,Southeast Asia,2011,9.579,0.884,65.72,0.927,0.4,0.923
Tajikistan,Commonwealth of Independent States,2012,7.821,0.729,62.72,0.749,-0.073,0.717
Venezuela,Latin America and Caribbean,2009,9.542,0.945,65.64,0.677,-0.116,0.828
Taiwan Province of China,East Asia,2011,10.705,0.863,78.3,0.761,0.035,0.755
Colombia,Latin America and Caribbean,2010,9.384,0.893,65.7,0.816,-0.05,0.815
Estonia,Central and Eastern Europe,2007,10.347,0.896,65.32,0.712,-0.246,0.743
Australia,North America and ANZ,2019,10.815,0.943,73.9,0.918,0.121,0.43
Kosovo,Central and Eastern Europe,2011,9.067,0.759,70.15,0.589,0.004,0.919
Iceland,Western Europe,2008,10.861,0.977,72.32,0.885,0.272,0.708
Niger,Sub-Saharan Africa,2018,7.087,0.612,53.5,0.791,0.009,0.637
Burundi,Sub-Saharan Africa,2018,6.635,0.485,53.4,0.646,-0.024,0.599
Spain,Western Europe,2012,10.487,0.937,73.14,0.755,-0.059,0.844
Mongolia,East Asia,2018,9.386,0.942,62.3,0.696,0.054,0.849
Paraguay,Latin America and Caribbean,2010,9.25,0.889,64.5,0.726,0.076,0.78
Dominican Republic,Latin America and Caribbean,2007,9.372,0.848,62.96,0.886,-0.008,0.772
Ukraine,Commonwealth of Independent States,2017,9.382,0.858,64.3,0.599,-0.002,0.937
Spain,Western Europe,2005,10.546,0.961,71.5,0.916,-0.09099999999999998,0.777
Israel,Middle East and North Africa,2012,10.493,0.903,72.52,0.681,0.153,0.862
Hong Kong S.A.R. of China,East Asia,2021,11.0,0.836,76.82,0.717,0.067,0.403
Morocco,Middle East and North Africa,2016,8.869,0.655,65.3,0.817,-0.237,0.717
Switzerland,Western Europe,2009,11.055,0.938,72.26,0.891,0.125,0.342
Nepal,South Asia,2018,8.087,0.768,63.5,0.77,0.122,0.742
Vietnam,Southeast Asia,2014,8.716,0.792,67.14,0.8773333333333334,0.0,0.7826666666666667
Armenia,Commonwealth of Independent States,2010,9.136,0.66,65.2,0.459,-0.176,0.891
Denmark,Western Europe,2008,10.88,0.954,70.08,0.97,0.272,0.248
Kenya,Sub-Saharan Africa,2009,8.057,0.789,54.18,0.584,0.1,0.913
Philippines,Southeast Asia,2012,8.756,0.813,61.0,0.914,0.053,0.771
Panama,Latin America and Caribbean,2019,10.356,0.886,69.7,0.883,-0.199,0.869
Yemen,Middle East and North Africa,2010,8.453,0.727,54.3,0.659,-0.104,0.853
Hong Kong S.A.R. of China,East Asia,2008,10.816,0.84,82.34,0.922,0.296,0.274
Albania,Central and Eastern Europe,2007,9.142,0.821,65.8,0.529,-0.009,0.875
Slovenia,Central and Eastern Europe,2014,10.412,0.908,70.0,0.888,0.052,0.909
Singapore,Southeast Asia,2008,11.178,0.845,74.2,0.661,0.046,0.066
Botswana,Sub-Saharan Africa,2015,9.724,0.816,56.8,0.857,-0.116,0.86
Senegal,Sub-Saharan Africa,2010,7.917,0.76,56.1,0.777,-0.077,0.851
Canada,North America and ANZ,2011,10.738,0.922,72.36,0.951,0.253,0.433
Cameroon,Sub-Saharan Africa,2013,8.09,0.76,49.5,0.794,-0.03,0.867
Luxembourg,Western Europe,2019,11.648,0.912,72.6,0.93,-0.045,0.39
Estonia,Central and Eastern Europe,2017,10.429,0.936,68.4,0.862,-0.101,0.668
Bolivia,Latin America and Caribbean,2016,9.012,0.796,63.0,0.882,-0.047,0.853
Taiwan Province of China,East Asia,2014,10.798,0.87,79.5,0.693,0.092,0.866
Ireland,Western Europe,2009,10.866,0.959,71.16,0.835,0.315,0.58
Tajikistan,Commonwealth of Independent States,2008,7.665,0.701,61.52,0.816,0.018,0.723
Ghana,Sub-Saharan Africa,2012,8.397,0.685,54.86,0.679,0.04,0.898
Comoros,Sub-Saharan Africa,2019,8.033,0.632,57.5,0.538,0.077,0.762
Rwanda,Sub-Saharan Africa,2017,7.588,0.517,60.5,0.908,0.051,0.214
Iran,Middle East and North Africa,2008,9.489,0.633,63.14,0.601,0.052,0.868
Hungary,Central and Eastern Europe,2009,10.097,0.901,65.4,0.464,-0.125,0.915
Cyprus,Western Europe,2011,10.53,0.844,72.54,0.745,0.18,0.841
Cyprus,Western Europe,2016,10.506,0.786,73.3,0.756,-0.03,0.898
Germany,Western Europe,2020,10.833,0.905,72.8,0.864,-0.06,0.424
Belgium,Western Europe,2008,10.789,0.923,70.44,0.887,0.007,0.652
Mexico,Latin America and Caribbean,2012,9.832,0.767,66.86,0.788,-0.093,0.633
Moldova,Commonwealth of Independent States,2009,8.984,0.856,61.12,0.551,-0.099,0.925
Botswana,Sub-Saharan Africa,2011,9.6,0.86,53.68,0.813,-0.25,0.816
India,South Asia,2009,8.281,0.653,56.98,0.679,-0.026,0.895
Malaysia,Southeast Asia,2021,10.238,0.817,67.102,0.895,0.125,0.839
Belarus,Commonwealth of Independent States,2010,9.758,0.918,62.3,0.7,-0.163,0.706
El Salvador,Latin America and Caribbean,2012,8.956,0.806,64.6,0.683,-0.155,0.786
Ukraine,Commonwealth of Independent States,2012,9.436,0.898,62.8,0.564,-0.223,0.896
Lithuania,Central and Eastern Europe,2017,10.429,0.926,66.7,0.749,-0.174,0.79
Colombia,Latin America and Caribbean,2009,9.351,0.886,65.58,0.757,-0.055,0.837
Finland,Western Europe,2018,10.783,0.962,71.9,0.938,-0.127,0.199
Peru,Latin America and Caribbean,2018,9.456,0.845,68.1,0.83,-0.178,0.906
Brazil,Latin America and Caribbean,2021,9.577,0.882,66.601,0.804,-0.071,0.756
Peru,Latin America and Caribbean,2015,9.402,0.798,67.2,0.802,-0.09,0.884
Canada,North America and ANZ,2013,10.757,0.936,72.68,0.916,0.316,0.406
Brazil,Latin America and Caribbean,2015,9.62,0.907,65.8,0.799,-0.016,0.771
South Korea,East Asia,2018,10.643,0.798,73.6,0.6,-0.089,0.797
Mali,Sub-Saharan Africa,2011,7.643,0.796,48.76,0.823,-0.101,0.726
Yemen,Middle East and North Africa,2021,7.578,0.832,57.122,0.602,-0.147,0.8
Ecuador,Latin America and Caribbean,2007,9.191,0.839,66.26,0.67,-0.063,0.83
Greece,Western Europe,2007,10.543,0.808,70.9,0.575,-0.19,0.845
Slovenia,Central and Eastern Europe,2021,10.529,0.948,71.4,0.949,-0.101,0.806
South Africa,Sub-Saharan Africa,2011,9.447,0.858,51.46,0.835,-0.154,0.819
Russia,Commonwealth of Independent States,2021,10.189,0.903,64.703,0.718,-0.111,0.845
Montenegro,Central and Eastern Europe,2019,9.97,0.832,68.7,0.694,-0.105,0.82
Indonesia,Southeast Asia,2013,9.155,0.794,61.06,0.781,0.376,0.973
Congo (Brazzaville),Sub-Saharan Africa,2008,8.082,0.555,52.2,0.526,-0.098,0.7811
Sweden,Western Europe,2018,10.881,0.931,72.6,0.942,0.077,0.263
Congo (Brazzaville),Sub-Saharan Africa,2018,8.136,0.621,57.9,0.699,-0.092,0.738
Afghanistan,South Asia,2017,7.697,0.491,52.8,0.427,-0.121,0.954
North Macedonia,Central and Eastern Europe,2009,9.464,0.734,64.349,0.552,-0.042,0.844
Burkina Faso,Sub-Saharan Africa,2008,7.403,0.727,48.18,0.612,-0.101,0.887
Honduras,Latin America and Caribbean,2013,8.54,0.792,66.16,0.698,-0.027,0.868
Brazil,Latin America and Caribbean,2020,9.522,0.831,66.8,0.786,-0.053,0.729
Malawi,Sub-Saharan Africa,2016,6.932,0.524,56.2,0.81,0.066,0.824
India,South Asia,2010,8.349,0.605,57.4,0.783,0.058,0.863
Iraq,Middle East and North Africa,2009,9.076,0.862,58.96,0.431,-0.199,0.854
El Salvador,Latin America and Caribbean,2018,9.061,0.82,66.1,0.863,-0.095,0.801
Myanmar,Southeast Asia,2016,8.408,0.793,58.4,0.877,0.679,0.607
Denmark,Western Europe,2020,10.91,0.947,73.0,0.938,0.052,0.214
Venezuela,Latin America and Caribbean,2011,9.822,0.931,65.74,0.766,-0.226,0.772
Hungary,Central and Eastern Europe,2005,10.108,0.93,64.6,0.697,-0.162625,0.903
Russia,Commonwealth of Independent States,2017,10.166,0.896,63.9,0.731,-0.145,0.862
Nicaragua,Latin America and Caribbean,2021,8.62,0.864,67.657,0.836,0.02,0.664
Japan,East Asia,2018,10.623,0.886,75.0,0.773,-0.261,0.687
Cambodia,Southeast Asia,2019,8.387,0.759,62.0,0.957,0.013,0.828
Haiti,Latin America and Caribbean,2011,7.423,0.567,36.86,0.413,0.243,0.682
Honduras,Latin America and Caribbean,2017,8.624,0.843,67.0,0.898,0.072,0.783
Botswana,Sub-Saharan Africa,2010,9.556,0.866,52.9,0.826,-0.143,0.814
Romania,Central and Eastern Europe,2017,10.211,0.811,66.9,0.839,-0.16,0.926
Zimbabwe,Sub-Saharan Africa,2007,7.666,0.828,42.86,0.456,-0.082,0.946
Guinea,Sub-Saharan Africa,2016,7.721,0.675,52.2,0.726,-0.056,0.803
Saudi Arabia,Middle East and North Africa,2016,10.792,0.89,65.7,0.774,-0.132,0.5446666666666666
Burkina Faso,Sub-Saharan Africa,2021,7.678,0.672,54.151,0.695,-0.009,0.748
Tunisia,Middle East and North Africa,2016,9.262,0.702,66.3,0.614,-0.165,0.811
Slovakia,Central and Eastern Europe,2019,10.398,0.933,69.2,0.771,-0.129,0.926
France,Western Europe,2018,10.727,0.921,73.8,0.816,-0.138,0.582
Argentina,Latin America and Caribbean,2019,10.0,0.896,69.0,0.817,-0.211,0.83
Azerbaijan,Commonwealth of Independent States,2017,9.555,0.787,65.2,0.731,-0.225,0.653
Jordan,Middle East and North Africa,2014,9.222,0.816,65.9,0.729,-0.104,0.687
Niger,Sub-Saharan Africa,2011,6.925,0.818,49.92,0.78,-0.055,0.549
Malawi,Sub-Saharan Africa,2006,6.678,0.554,44.88,0.767,0.2,0.676
Vietnam,Southeast Asia,2008,8.44,0.805,66.18,0.889,0.201,0.789
Slovakia,Central and Eastern Europe,2021,10.369,0.936,69.201,0.766,-0.124,0.911
Bolivia,Latin America and Caribbean,2006,8.686,0.834,59.0,0.77,-0.044,0.794
Cameroon,Sub-Saharan Africa,2017,8.176,0.695,51.9,0.767,-0.028,0.844
Madagascar,Sub-Saharan Africa,2012,7.339,0.673,56.64,0.487,-0.055,0.854
Georgia,Commonwealth of Independent States,2017,9.517,0.59,64.7,0.821,-0.244,0.59
Switzerland,Western Europe,2006,11.05,0.951,71.54,0.919,0.29,0.408
United Kingdom,Western Europe,2014,10.697,0.91,71.62,0.857,0.355,0.484
Mongolia,East Asia,2010,8.92,0.904,60.2,0.631,0.099,0.928
Czech Republic,Central and Eastern Europe,2021,10.556,0.947,70.807,0.858,-0.208,0.868
Dominican Republic,Latin America and Caribbean,2013,9.525,0.878,64.46,0.889,0.021,0.752
Bosnia and Herzegovina,Central and Eastern Europe,2017,9.532,0.775,67.5,0.564,0.092,0.923
Gabon,Sub-Saharan Africa,2018,9.599,0.785,59.7,0.719,-0.197,0.823
Liberia,Sub-Saharan Africa,2015,7.365,0.638,53.7,0.671,-0.061,0.903
Benin,Sub-Saharan Africa,2018,8.059,0.504,54.3,0.713,0.002,0.747
Bulgaria,Central and Eastern Europe,2011,9.795,0.86,65.8,0.664,-0.228,0.948
Malta,Western Europe,2013,10.422,0.942,71.96,0.909,0.41,0.666
Mozambique,Sub-Saharan Africa,2006,6.776,0.879,44.8,0.684,0.041,0.758
Cameroon,Sub-Saharan Africa,2016,8.167,0.659,51.1,0.713,-0.003,0.879
Chile,Latin America and Caribbean,2016,10.074,0.841,69.7,0.652,0.102,0.858
Malta,Western Europe,2015,10.566,0.919,72.2,0.912,0.347,0.664
United Arab Emirates,Middle East and North Africa,2018,11.112,0.851,67.1,0.944,0.054,0.299
El Salvador,Latin America and Caribbean,2010,8.9,0.757,64.2,0.669,-0.064,0.694
Honduras,Latin America and Caribbean,2014,8.552,0.79,66.38,0.696,0.015,0.834
Kenya,Sub-Saharan Africa,2010,8.111,0.805,55.5,0.635,0.019,0.918
Philippines,Southeast Asia,2011,8.707,0.789,60.8,0.883,0.073,0.783
Albania,Central and Eastern Europe,2016,9.437,0.638,68.1,0.73,-0.017,0.901
Latvia,Central and Eastern Europe,2021,10.315,0.927,67.1,0.715,-0.162,0.8
Azerbaijan,Commonwealth of Independent States,2012,9.549,0.762,63.88,0.599,-0.14,0.763
Nigeria,Sub-Saharan Africa,2015,8.615,0.812,48.5,0.68,-0.035,0.926
South Korea,East Asia,2016,10.593,0.811,73.0,0.591,0.026,0.862
Togo,Sub-Saharan Africa,2008,7.052,0.291,50.18,0.287,-0.055,0.932
Bosnia and Herzegovina,Central and Eastern Europe,2013,9.382,0.767,66.82,0.39,0.042,0.97
Chad,Sub-Saharan Africa,2009,7.364,0.646,44.62,0.401,0.021,0.931
Libya,Middle East and North Africa,2021,9.622,0.827,62.3,0.771,-0.087,0.667
Hungary,Central and Eastern Europe,2015,10.223,0.859,66.4,0.558,-0.198,0.908
Mauritania,Sub-Saharan Africa,2008,8.501,0.67,53.94,0.593,-0.018,0.841
New Zealand,North America and ANZ,2008,10.528,0.944,71.6,0.893,0.298,0.334
Mauritius,Sub-Saharan Africa,2019,10.043,0.913,66.7,0.893,-0.053,0.81
Congo (Brazzaville),Sub-Saharan Africa,2014,8.242,0.686,55.72,0.662,-0.11,0.808
Tunisia,Middle East and North Africa,2019,9.283,0.61,67.2,0.659,-0.209,0.889
Yemen,Middle East and North Africa,2013,8.242,0.694,54.3,0.543,-0.179,0.885
Peru,Latin America and Caribbean,2017,9.434,0.83,67.8,0.827,-0.154,0.895
Philippines,Southeast Asia,2007,8.608,0.801,60.0,0.852,-0.022,0.88
Armenia,Commonwealth of Independent States,2012,9.249,0.676,65.52,0.502,-0.215,0.893
South Africa,Sub-Saharan Africa,2015,9.46,0.898,55.3,0.862,-0.127,0.853
Mali,Sub-Saharan Africa,2013,7.599,0.82,49.48,0.665,-0.053,0.755
Canada,North America and ANZ,2016,10.773,0.924,73.2,0.912,0.211,0.385
Afghanistan,South Asia,2013,7.725,0.484,52.56,0.578,0.061,0.823
Czech Republic,Central and Eastern Europe,2011,10.435,0.914,68.24,0.787,-0.106,0.95
China,East Asia,2011,9.179,0.787,67.76,0.824,-0.186,0.755
South Africa,Sub-Saharan Africa,2012,9.453,0.907,52.42,0.59,-0.163,0.838
New Zealand,North America and ANZ,2015,10.608,0.987,72.6,0.942,0.329,0.186
Hungary,Central and Eastern Europe,2017,10.293,0.877,67.2,0.661,-0.139,0.886
Sweden,Western Europe,2015,10.853,0.929,72.3,0.935,0.211,0.232
Belgium,Western Europe,2019,10.853,0.884,72.2,0.776,-0.172,0.672
Tunisia,Middle East and North Africa,2014,9.26,0.68,65.82,0.589,-0.232,0.783
South Africa,Sub-Saharan Africa,2008,9.444,0.81,49.26,0.749,-0.095,0.866
Sri Lanka,South Asia,2018,9.462,0.833,67.2,0.859,0.106,0.856
Indonesia,Southeast Asia,2012,9.114,0.834,60.84,0.77,0.354,0.962
Saudi Arabia,Middle East and North Africa,2011,10.758,0.83,64.6,0.603,-0.142,0.5446666666666666
Colombia,Latin America and Caribbean,2013,9.512,0.901,66.36,0.841,-0.071,0.898
Paraguay,Latin America and Caribbean,2017,9.441,0.902,65.5,0.891,0.003,0.81
Ethiopia,Sub-Saharan Africa,2019,7.705,0.748,59.0,0.754,0.053,0.732
New Zealand,North America and ANZ,2020,10.6,0.952,73.6,0.918,0.125,0.283
Nepal,South Asia,2014,7.948,0.786,60.0,0.712,0.121,0.841
Haiti,Latin America and Caribbean,2016,7.477,0.584,55.3,0.304,0.291,0.839
Sweden,Western Europe,2012,10.8,0.929,72.06,0.944,0.132,0.254
Serbia,Central and Eastern Europe,2021,9.787,0.873,68.6,0.778,0.002,0.835
Sierra Leone,Sub-Saharan Africa,2014,7.6,0.869,45.58,0.681,0.034,0.786
Montenegro,Central and Eastern Europe,2017,9.885,0.881,68.3,0.626,-0.083,0.756
Jordan,Middle East and North Africa,2018,9.196,0.8,66.8,0.762,-0.186,0.687
United Arab Emirates,Middle East and North Africa,2011,10.935,0.881,66.42,0.889,0.071,0.299
Kyrgyzstan,Commonwealth of Independent States,2020,8.503,0.902,64.7,0.935,0.103,0.931
Yemen,Middle East and North Africa,2015,7.858,0.669,54.3,0.61,-0.139,0.829
Moldova,Commonwealth of Independent States,2017,9.363,0.831,64.3,0.553,-0.053,0.926
Nigeria,Sub-Saharan Africa,2019,8.544,0.734,50.1,0.729,0.032,0.873
Turkey,Middle East and North Africa,2010,9.906,0.795,64.4,0.515,-0.187,0.811
Greece,Western Europe,2016,10.261,0.803,72.0,0.482,-0.26,0.898
Malaysia,Southeast Asia,2008,9.909,0.803,65.28,0.78,0.044,0.884
Ivory Coast,Sub-Saharan Africa,2020,8.565,0.613,50.7,0.77,0.016,0.777
Kyrgyzstan,Commonwealth of Independent States,2009,8.345,0.855,60.82,0.699,-0.14,0.896
Iran,Middle East and North Africa,2015,9.449,0.572,65.1,0.78,0.176,0.699
Spain,Western Europe,2008,10.579,0.948,72.34,0.834,-0.15,0.683
Algeria,Middle East and North Africa,2011,9.297,0.81,64.66,0.53,-0.181,0.638
Congo (Brazzaville),Sub-Saharan Africa,2021,8.117,0.636,58.221,0.695,-0.068,0.745
Gabon,Sub-Saharan Africa,2013,9.638,0.733,56.84,0.682,-0.146,0.78
India,South Asia,2007,8.204,0.569,56.14,0.729,-0.051,0.862
Guatemala,Latin America and Caribbean,2018,9.042,0.841,64.8,0.91,-0.01,0.765
Malaysia,Southeast Asia,2018,10.223,0.789,67.0,0.875,0.127,0.894
Guatemala,Latin America and Caribbean,2006,8.85,0.83,60.74,0.663,0.172,0.706
